product_id,product_name,category,brand,date,mrp,selling_price,discount_percent,platform,computed_discount,discount_mismatch,baseline_price_90d,mrp_inflation_ratio,discount_permanence_score,pre_sale_spike,price_volatility,mrp_volatility,days_listed,discount_vs_category,fraud_verdict,discount_round_flag,charm_pricing_flag,listing_age_anomaly,seller_trust_score,discount_gap_abs,high_discount_low_trust,price_drop_magnitude,cross_platform_mrp_gap,cross_platform_price_gap,fraud_score_composite
0,SG_Football_0,Sports,SG,2024-02-08,4630.16,3752.29,18.96,amazon,18.96,False,3694.77,1.2532,0.6154,0.0,0.0169,0.0885,0,-6.55,Genuine,0,0,0,0.8886,0.0,0,-0.0156,0.0,0.0,1.84
0,SG_Football_0,Sports,SG,2024-02-09,5546.16,3688.15,33.5,amazon,33.5,False,3694.77,1.5011,0.6154,0.0,0.0169,0.0885,1,7.99,Genuine,0,0,0,0.8143,0.0,0,0.0018,0.0,0.0,2.13
0,SG_Football_0,Sports,SG,2024-02-10,5173.37,3712.84,28.23,amazon,28.23,False,3694.77,1.4002,0.6154,0.0,0.0169,0.0885,2,2.72,Genuine,0,0,0,0.8445,0.0,0,-0.0049,0.0,0.0,2.01
0,SG_Football_0,Sports,SG,2024-02-11,4876.05,3599.31,26.18,amazon,26.18,False,3694.77,1.3197,0.6154,0.0,0.0169,0.0885,3,0.67,Genuine,0,0,0,0.8687,0.0,0,0.0258,0.0,0.0,1.92
0,SG_Football_0,Sports,SG,2024-02-12,4238.22,3629.95,14.35,amazon,14.35,False,3694.77,1.1471,0.6154,0.0,0.0169,0.0885,4,-11.16,Genuine,0,0,0,0.9205,0.0,0,0.0175,0.0,0.0,1.71
0,SG_Football_0,Sports,SG,2024-02-13,4886.59,3643.5,25.44,amazon,25.44,False,3694.77,1.3226,0.6154,0.0,0.0169,0.0885,5,-0.07,Genuine,1,0,0,0.8678,0.0,0,0.0139,0.0,0.0,2.52
0,SG_Football_0,Sports,SG,2024-02-14,5590.68,3690.96,33.98,amazon,33.98,False,3694.77,1.5131,0.6154,0.0,0.0169,0.0885,6,8.47,Genuine,0,0,0,0.8107,0.0,0,0.001,0.0,0.0,2.15
0,SG_Football_0,Sports,SG,2024-02-15,5397.59,3705.16,31.36,amazon,31.36,False,3694.77,1.4609,0.6154,0.1657,0.0169,0.0885,7,5.85,Genuine,0,0,0,0.8263,0.0,0,-0.0028,0.0,0.0,2.38
0,SG_Football_0,Sports,SG,2024-02-16,4966.06,3773.21,24.02,amazon,24.02,False,3694.77,1.3441,0.6154,-0.1046,0.0169,0.0885,8,-1.49,Genuine,0,0,0,0.8614,0.0,0,-0.0212,0.0,0.0,1.95
0,SG_Football_0,Sports,SG,2024-02-17,4350.88,3694.77,15.08,amazon,15.08,False,3694.77,1.1776,0.6154,-0.159,0.0169,0.0885,9,-10.43,Genuine,0,0,0,0.9113,0.0,0,0.0,0.0,0.0,1.75
0,SG_Football_0,Sports,SG,2024-02-18,5004.91,3669.47,26.68,amazon,26.68,False,3694.77,1.3546,0.6154,0.0264,0.0169,0.0885,10,1.17,Genuine,0,0,0,0.8582,0.0,0,0.0068,0.0,0.0,2.01
0,SG_Football_0,Sports,SG,2024-02-19,4482.68,3764.74,16.02,amazon,16.02,False,3694.77,1.2133,0.6154,0.0577,0.0169,0.0885,11,-9.49,Genuine,0,0,0,0.9006,0.0,0,-0.0189,0.0,0.0,1.89
0,SG_Football_0,Sports,SG,2024-02-20,4679.84,3824.62,18.27,amazon,18.27,False,3694.77,1.2666,0.6154,-0.0423,0.0169,0.0885,12,-7.24,Genuine,0,0,0,0.8846,0.0,0,-0.0351,0.0,0.0,1.85
1,Prestige_Mixer_1,Home,Prestige,2024-01-06,759.24,679.18,10.54,amazon,10.54,False,683.555,1.1107,0.4722,0.0,0.024,0.4529,0,-27.26,Genuine,0,0,0,0.7856,0.0,0,0.0064,0.0,0.0,1.76
1,Prestige_Mixer_1,Home,Prestige,2024-01-07,773.07,683.06,11.64,amazon,11.64,False,683.555,1.131,0.4722,0.0,0.024,0.4529,1,-26.16,Genuine,0,0,0,0.7795,0.0,0,0.0007,0.0,0.0,1.79
1,Prestige_Mixer_1,Home,Prestige,2024-01-08,796.85,689.23,13.51,amazon,13.51,False,683.555,1.1657,0.4722,0.0,0.024,0.4529,2,-24.29,Genuine,0,0,0,0.7691,0.0,0,-0.0083,0.0,0.0,1.83
1,Prestige_Mixer_1,Home,Prestige,2024-01-09,792.6,688.44,13.14,amazon,13.14,False,683.555,1.1595,0.4722,0.0,0.024,0.4529,3,-24.66,Genuine,0,0,0,0.771,0.0,0,-0.0071,0.0,0.0,1.82
1,Prestige_Mixer_1,Home,Prestige,2024-01-10,775.09,694.93,10.34,amazon,10.34,False,683.555,1.1339,0.4722,0.0,0.024,0.4529,4,-27.46,Genuine,0,0,0,0.7787,0.0,0,-0.0166,0.0,0.0,1.79
1,Prestige_Mixer_1,Home,Prestige,2024-01-11,811.96,714.13,12.05,amazon,12.05,False,683.555,1.1878,0.4722,0.0,0.024,0.4529,5,-25.75,Genuine,0,0,0,0.7625,0.0,0,-0.0447,0.0,0.0,1.85
1,Prestige_Mixer_1,Home,Prestige,2024-01-12,2401.93,702.15,70.77,amazon,70.77,False,683.555,3.5139,0.4722,0.0,0.024,0.4529,6,32.97,Suspicious,0,0,1,0.2188,0.0,1,-0.0272,0.0,0.0,5.83
1,Prestige_Mixer_1,Home,Prestige,2024-01-13,749.6,689.71,7.99,amazon,7.99,False,683.555,1.0966,0.4722,-0.0127,0.024,0.4529,7,-29.81,Genuine,0,0,0,0.7899,0.0,0,-0.009,0.0,0.0,1.74
1,Prestige_Mixer_1,Home,Prestige,2024-01-14,1846.6,687.77,62.75,amazon,62.75,False,683.555,2.7015,0.4722,1.3887,0.024,0.4529,8,24.95,Fake,0,0,0,0.3084,0.0,1,-0.0062,0.0,0.0,6.05
1,Prestige_Mixer_1,Home,Prestige,2024-01-15,1791.48,689.9,61.49,amazon,61.49,False,683.555,2.6208,0.4722,1.2482,0.024,0.4529,9,23.69,Fake,0,0,0,0.3326,0.0,1,-0.0093,0.0,0.0,5.95
1,Prestige_Mixer_1,Home,Prestige,2024-01-16,795.03,706.52,11.13,amazon,11.13,False,683.555,1.1631,0.4722,0.0031,0.024,0.4529,10,-26.67,Genuine,0,0,0,0.7699,0.0,0,-0.0336,0.0,0.0,1.83
1,Prestige_Mixer_1,Home,Prestige,2024-01-17,776.09,708.29,8.74,amazon,8.74,False,683.555,1.1354,0.4722,0.0013,0.024,0.4529,11,-29.06,Genuine,0,0,0,0.7782,0.0,0,-0.0362,0.0,0.0,1.79
1,Prestige_Mixer_1,Home,Prestige,2024-01-18,2278.51,687.77,69.81,amazon,69.81,False,683.555,3.3333,0.4722,1.8062,0.024,0.4529,12,32.01,Fake,1,0,0,0.2188,0.0,1,-0.0062,0.0,0.0,7.4
1,Prestige_Mixer_1,Home,Prestige,2024-01-19,2203.64,681.65,69.07,amazon,69.07,False,683.555,3.2238,0.4722,-0.0826,0.024,0.4529,13,31.27,Suspicious,0,0,0,0.2188,0.0,1,0.0028,0.0,0.0,4.88
1,Prestige_Mixer_1,Home,Prestige,2024-01-20,741.85,674.22,9.12,amazon,9.12,False,683.555,1.0853,0.4722,-0.0103,0.024,0.4529,14,-28.68,Genuine,0,0,0,0.7932,0.0,0,0.0137,0.0,0.0,1.73
1,Prestige_Mixer_1,Home,Prestige,2024-01-21,738.23,655.94,11.15,amazon,11.15,False,683.555,1.08,0.4722,-0.6002,0.024,0.4529,15,-26.65,Genuine,0,0,0,0.7948,0.0,0,0.0404,0.0,0.0,1.73
1,Prestige_Mixer_1,Home,Prestige,2024-01-22,757.94,664.77,12.29,amazon,12.29,False,683.555,1.1088,0.4722,-0.5769,0.024,0.4529,16,-25.51,Genuine,0,0,0,0.7862,0.0,0,0.0275,0.0,0.0,1.76
1,Prestige_Mixer_1,Home,Prestige,2024-01-23,753.11,673.14,10.62,amazon,10.62,False,683.555,1.1018,0.4722,-0.0527,0.024,0.4529,17,-27.18,Genuine,0,0,0,0.7883,0.0,0,0.0152,0.0,0.0,1.75
1,Prestige_Mixer_1,Home,Prestige,2024-01-24,1374.45,670.46,51.22,amazon,51.22,False,683.555,2.0107,0.4722,0.771,0.024,0.4529,18,13.42,Fake,0,0,0,0.5156,0.0,0,0.0192,0.0,0.0,4.22
1,Prestige_Mixer_1,Home,Prestige,2024-01-25,760.86,671.48,11.75,amazon,11.75,False,683.555,1.1131,0.4722,-0.6661,0.024,0.4529,19,-26.05,Genuine,0,0,0,0.7849,0.0,0,0.0177,0.0,0.0,1.76
1,Prestige_Mixer_1,Home,Prestige,2024-01-26,801.35,686.38,14.35,amazon,14.35,False,683.555,1.1723,0.4722,-0.6364,0.024,0.4529,20,-23.45,Genuine,0,0,0,0.7672,0.0,0,-0.0041,0.0,0.0,1.84
1,Prestige_Mixer_1,Home,Prestige,2024-01-27,776.44,691.29,10.97,amazon,10.97,False,683.555,1.1359,0.4722,0.0466,0.024,0.4529,21,-26.83,Genuine,0,0,0,0.7781,0.0,0,-0.0113,0.0,0.0,1.88
