product_id,product_name,category,brand,date,mrp,selling_price,discount_percent
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-21,4290.69,4054.71,5.5
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-22,4253.28,4010.24,5.71
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-23,4266.99,3899.6,8.61
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-24,4197.09,3779.01,9.96
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-25,10304.93,3800.52,63.12
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-26,3982.32,3773.91,5.23
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-27,3923.65,3709.69,5.45
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-28,4084.91,3679.84,9.92
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-29,4100.02,3755.55,8.4
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-30,4033.97,3642.23,9.71
0,Lakme_Facewash_0,Beauty,Lakme,2024-01-31,4040.17,3613.57,10.56
0,Lakme_Facewash_0,Beauty,Lakme,2024-02-01,5377.66,3553.87,33.91
0,Lakme_Facewash_0,Beauty,Lakme,2024-02-02,4314.54,3621.29,16.07
0,Lakme_Facewash_0,Beauty,Lakme,2024-02-03,5583.01,3548.69,36.44
0,Lakme_Facewash_0,Beauty,Lakme,2024-02-04,12034.12,3483.02,71.06
0,Lakme_Facewash_0,Beauty,Lakme,2024-02-05,4554.37,3469.05,23.83
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-16,1137.89,639.68,43.78
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-17,791.72,630.45,20.37
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-18,813.39,611.51,24.82
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-19,674.06,603.33,10.49
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-20,979.04,610.37,37.66
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-21,930.42,625.36,32.79
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-22,1566.07,637.85,59.27
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-23,965.13,643.67,33.31
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-24,901.6,634.34,29.64
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-25,2298.69,651.64,71.65
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-26,1313.2,640.67,51.21
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-27,1760.25,648.12,63.18
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-28,1779.25,635.89,64.26
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-02-29,1391.67,637.66,54.18
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-03-01,1459.9,641.02,56.09
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-03-02,2254.7,657.39,70.84
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-03-03,1633.13,671.72,58.87
1,Maybelline_Facewash_1,Beauty,Maybelline,2024-03-04,1507.98,655.17,56.55
