product_id,product_name,category,brand,date,mrp,selling_price,discount_percent
0,SG_Football_0,Sports,SG,2024-02-08,4630.16,3752.29,18.96
0,SG_Football_0,Sports,SG,2024-02-09,5546.16,3688.15,33.5
0,SG_Football_0,Sports,SG,2024-02-10,5173.37,3712.84,28.23
0,SG_Football_0,Sports,SG,2024-02-11,4876.05,3599.31,26.18
0,SG_Football_0,Sports,SG,2024-02-12,4238.22,3629.95,14.35
0,SG_Football_0,Sports,SG,2024-02-13,4886.59,3643.5,25.44
0,SG_Football_0,Sports,SG,2024-02-14,5590.68,3690.96,33.98
0,SG_Football_0,Sports,SG,2024-02-15,5397.59,3705.16,31.36
0,SG_Football_0,Sports,SG,2024-02-16,4966.06,3773.21,24.02
0,SG_Football_0,Sports,SG,2024-02-17,4350.88,3694.77,15.08
0,SG_Football_0,Sports,SG,2024-02-18,5004.91,3669.47,26.68
0,SG_Football_0,Sports,SG,2024-02-19,4482.68,3764.74,16.02
0,SG_Football_0,Sports,SG,2024-02-20,4679.84,3824.62,18.27
1,Prestige_Mixer_1,Home,Prestige,2024-01-06,759.24,679.18,10.54
1,Prestige_Mixer_1,Home,Prestige,2024-01-07,773.07,683.06,11.64
1,Prestige_Mixer_1,Home,Prestige,2024-01-08,796.85,689.23,13.51
1,Prestige_Mixer_1,Home,Prestige,2024-01-09,792.6,688.44,13.14
1,Prestige_Mixer_1,Home,Prestige,2024-01-10,775.09,694.93,10.34
1,Prestige_Mixer_1,Home,Prestige,2024-01-11,811.96,714.13,12.05
1,Prestige_Mixer_1,Home,Prestige,2024-01-12,2401.93,702.15,70.77
1,Prestige_Mixer_1,Home,Prestige,2024-01-13,749.6,689.71,7.99
1,Prestige_Mixer_1,Home,Prestige,2024-01-14,1846.6,687.77,62.75
1,Prestige_Mixer_1,Home,Prestige,2024-01-15,1791.48,689.9,61.49
1,Prestige_Mixer_1,Home,Prestige,2024-01-16,795.03,706.52,11.13
1,Prestige_Mixer_1,Home,Prestige,2024-01-17,776.09,708.29,8.74
1,Prestige_Mixer_1,Home,Prestige,2024-01-18,2278.51,687.77,69.81
1,Prestige_Mixer_1,Home,Prestige,2024-01-19,2203.64,681.65,69.07
1,Prestige_Mixer_1,Home,Prestige,2024-01-20,741.85,674.22,9.12
1,Prestige_Mixer_1,Home,Prestige,2024-01-21,738.23,655.94,11.15
1,Prestige_Mixer_1,Home,Prestige,2024-01-22,757.94,664.77,12.29
1,Prestige_Mixer_1,Home,Prestige,2024-01-23,753.11,673.14,10.62
1,Prestige_Mixer_1,Home,Prestige,2024-01-24,1374.45,670.46,51.22
1,Prestige_Mixer_1,Home,Prestige,2024-01-25,760.86,671.48,11.75
1,Prestige_Mixer_1,Home,Prestige,2024-01-26,801.35,686.38,14.35
1,Prestige_Mixer_1,Home,Prestige,2024-01-27,776.44,691.29,10.97
1,Prestige_Mixer_1,Home,Prestige,2024-01-28,768.47,699.57,8.97
1,Prestige_Mixer_1,Home,Prestige,2024-01-29,745.47,682.69,8.42
1,Prestige_Mixer_1,Home,Prestige,2024-01-30,769.4,675.86,12.16
1,Prestige_Mixer_1,Home,Prestige,2024-01-31,867.34,660.57,23.84
1,Prestige_Mixer_1,Home,Prestige,2024-02-01,1190.75,670.13,43.72
1,Prestige_Mixer_1,Home,Prestige,2024-02-02,1089.04,667.29,38.73
1,Prestige_Mixer_1,Home,Prestige,2024-02-03,935.31,649.93,30.51
1,Prestige_Mixer_1,Home,Prestige,2024-02-04,864.22,644.35,25.44
1,Prestige_Mixer_1,Home,Prestige,2024-02-05,1144.1,659.86,42.33
